File_name,Blur_Measure,Contrast_Measure,Brightness_Measure
./African_Bush_Elephant.jpg,1100.174,0.45,169.472
./blur.jpg,98.222,0.475,191.638
./jack-russell-blurred.jpg,6.469,0.425,114.688
./stop-taking-blurry-pictures.jpg,71.21,0.45,155.782
